#Table1,,,,,,,,,,,,,,
objid,ra,dec,photoz,photozerr,specz,speczerr,proj_sep,umag,umagerr,gmag,gmagerr,rmag,rmagerr,obj_type
1.24E+18,258.40222,64.205586,0.069646,0.012504,0.07680839,2.04E-05,9.844518658,20.01624,0.06845897,18.14327,0.007023942,17.29848,0.005510012,3
1.24E+18,258.45092,64.147217,0.102862,0.012422,0.0953292,2.53E-05,9.03657228,20.25865,0.07903419,18.34164,0.007594357,17.38347,0.005590744,3
1.24E+18,257.78072,64.08254,0.098597,0.014564,0.08273885,2.69E-05,9.162668768,20.19086,0.07367346,18.06582,0.006736031,17.09841,0.004791039,3
1.24E+18,257.78072,64.08254,0.098597,0.014564,0.08283287,2.44E-05,9.162668768,20.19086,0.07367346,18.06582,0.006736031,17.09841,0.004791039,3
1.24E+18,257.77059,64.052263,0.080604,0.008769,0.0827288,2.06E-05,9.716835739,19.6308,0.04645898,17.65848,0.005370905,16.74029,0.004088842,3
1.24E+18,257.77059,64.052263,0.080604,0.008769,0.08278894,1.82E-05,9.716835739,19.6308,0.04645898,17.65848,0.005370905,16.74029,0.004088842,3
1.24E+18,257.87064,63.980187,0.071395,0.016364,0.07125111,7.57E-06,9.577689589,18.61848,0.02980416,17.14359,0.004612993,16.48785,0.003892093,3
1.24E+18,257.9009,64.016662,0.081453,0.009865,0.06997444,2.05E-05,7.532898737,19.80684,0.05892831,17.74389,0.005896933,16.83692,0.004368942,3
1.24E+18,257.9009,64.016662,0.081453,0.009865,0.06997781,2.32E-05,7.532898737,19.80684,0.05892831,17.74389,0.005896933,16.83692,0.004368942,3
1.24E+18,257.90819,64.04625,0.089054,0.010769,0.07858875,2.30E-05,6.436920393,19.57813,0.05634914,17.55992,0.005640038,16.59513,0.004079876,3
1.24E+18,257.90819,64.04625,0.089054,0.010769,0.07868629,2.30E-05,6.436920393,19.57813,0.05634914,17.55992,0.005640038,16.59513,0.004079876,3
1.24E+18,258.02787,64.040384,0.155318,0.008394,0.1508622,2.59E-05,4.113854656,19.82627,0.0768339,17.78582,0.006977096,16.65903,0.004429605,3
1.24E+18,258.02787,64.040384,0.155318,0.008394,0.15091,2.37E-05,4.113854656,19.82627,0.0768339,17.78582,0.006977096,16.65903,0.004429605,3
1.24E+18,258.09657,64.032519,0.11312,0.010352,0.07981008,1.40E-05,3.706647877,19.7303,0.04538322,17.55445,0.005149777,16.54338,0.003739001,3
1.24E+18,258.20851,64.052953,0.088747,0.014687,0.07395603,2.08E-05,3.154617319,19.19729,0.04538317,16.99064,0.004396979,16.03191,0.003275655,3
1.24E+18,258.20851,64.052953,0.088747,0.014687,0.07399382,1.65E-05,3.154617319,19.19729,0.04538317,16.99064,0.004396979,16.03191,0.003275655,3
1.24E+18,258.17109,64.07271,0.079329,0.010019,0.0834782,2.02E-05,1.617259783,19.22295,0.048023,17.07339,0.004666888,16.12337,0.003477939,3
1.24E+18,258.17109,64.07271,0.079329,0.010019,0.08358134,1.79E-05,1.617259783,19.22295,0.048023,17.07339,0.004666888,16.12337,0.003477939,3
1.24E+18,258.21347,64.073183,0.085255,0.018274,0.07390616,1.45E-05,2.491308692,19.22808,0.04919117,17.19313,0.004988501,16.26248,0.003694817,3
1.24E+18,258.21347,64.073183,0.085255,0.018274,0.07390364,1.41E-05,2.491308692,19.22808,0.04919117,17.19313,0.004988501,16.26248,0.003694817,3
